hs6,description
300241,"vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products; for human medicine"
300242,"vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products; for veterinary medicine"
300249,"toxins, cultures of micro-organisms (excluding yeasts) and similar products; n.e.c. in item 3002.3"
300251,"cell cultures, whether or not modified; cell therapy products"
300259,"cell cultures, whether or not modified; other cell cultures not including cell therapy products"
300290,"toxins, cultures of micro-organisms (excluding yeasts) and similar products"
300310,"medicaments; containing penicillins, streptomycins or their derivatives, for therapeutic or prophylactic uses, (not in measured doses, not packaged for retail sale)"
300320,"medicaments; containing antibiotics other than penicillins, streptomycins and their derivatives, for therapeutic or prophylactic uses, (not in measured doses, not packaged for retail sale)"
300331,"medicaments; containing insulin, for therapeutic or prophylactic uses, not packaged for retail sale"
300339,"medicaments; containing hormones (excluding insulin), (but not containing antibiotics), for therapeutic or prophylactic uses, not packaged for retail sale"
300341,"medicaments; containing alkaloids or their derivatives, containing ephedrine or its salts, for therapeutic or prophylactic uses, (not packaged for retail sale)"
300342,"medicaments; containing alkaloids or their derivatives, containing pseudoephedrine (inn) or its salts, for therapeutic or prophylactic uses, (not packaged for retail sale)"
300343,"medicaments; containing alkaloids or their derivatives, containing norephedrine or its salts, for therapeutic or prophylactic uses, (not packaged for retail sale)"
300349,"medicaments; containing alkaloids or their derivatives; other than ephedrine, pseudoephedrine (inn) or norephedrine or their salts; for therapeutic or prophylactic uses, (not packaged for retail sale)"
300360,"medicaments; containing antimalarial active principles described in subheading note 2 to this chapter, for therapeutic or prophylactic uses, (not packaged for retail sale)"
300390,"medicaments; (not containing antibiotics, hormones, alkaloids or their derivatives), for therapeutic or prophylactic uses, (not packaged for retail sale)"
300410,"medicaments; containing penicillins, streptomycins or their derivatives, for therapeutic or prophylactic uses, packaged for retail sale"
300420,"medicaments; containing antibiotics (other than penicillins, streptomycins or their derivatives), for therapeutic or prophylactic uses, packaged for retail sale"
300431,"medicaments; containing insulin, for therapeutic or prophylactic uses, packaged for retail sale"
300432,"medicaments; containing corticosteroid hormones, their derivatives or structural analogues (but not containing antibiotics), for therapeutic or prophylactic uses, packaged for retail sale"
300439,"medicaments; containing hormones (but not insulin), adrenal cortex hormones or antibiotics, for therapeutic or prophylactic uses, packaged for retail sale"
300441,"medicaments; containing alkaloids or their derivatives, containing ephedrine or its salts, for therapeutic or prophylactic uses, packaged for retail sale"
300442,"medicaments; containing alkaloids or their derivatives, containing pseudoephedrine (inn) or its salts, for therapeutic or prophylactic uses, packaged for retail sale"
300443,"medicaments; containing alkaloids or their derivatives, containing norephedrine or its salts, for therapeutic or prophylactic uses, packaged for retail sale"
300449,"medicaments; containing alkaloids or their derivatives; other than ephedrine, pseudoephedrine (inn) or norephedrine or their salts; for therapeutic or prophylactic uses, packaged for retail sale"
300450,"medicaments; containing vitamins or their derivatives, for therapeutic or prophylactic use, packaged for retail sale"
300460,"medicaments; containing antimalarial active principles described in subheading note 2 to this chapter, for therapeutic or prophylactic uses, packaged for retail sale"
300490,"medicaments; consisting of mixed or unmixed products n.e.c. in heading no. 3004, for therapeutic or prophylactic uses, packaged for retail sale"
300510,"dressings, adhesive; and other articles having an adhesive layer, packed for retail sale for medical, surgical, dental or veterinary purposes"
300590,"wadding, gauze, bandages and similar articles; (excluding adhesive dressings), impregnated or coated with pharmaceutical substances, packaged for retail sale"
300610,"pharmaceutical goods; sterile surgical catgut, suture materials, tissue adhesives, laminaria, laminaria tents, absorbable surgical or dental haemostatics, and surgical or dental adhesion barriers"
300630,"pharmaceutical goods; opacifying preparations for x-ray examinations, diagnostic reagents designed to be administered to the patient"
300640,"pharmaceutical goods; dental cements and other dental fillings, bone reconstruction cements"
300650,pharmaceutical goods; first aid boxes and kits
300660,"pharmaceutical goods; chemical contraceptive preparations based on hormones, on other products of heading 2937 or on spermicides"
300670,pharmaceutical goods; gel preparations designed to be used in human or veterinary medicine as a lubricant for parts of the body for surgical operations or physical examinations or as a coupling agent between the body and medical instruments
300691,pharmaceutical goods; appliances identifiable for ostomy use
300692,pharmaceutical goods; waste pharmaceuticals
300693,"pharmaceutical goods; placebos and blinded (or double-blinded) clinical trial kits for a recognised clinical trial, put up in measured doses"
310100,"fertilizers, animal or vegetable; whether or not mixed together or chemically treated; fertilizers, produced by the mixing or chemical treatment of animal or vegetable products"
310210,"fertilizers, mineral or chemical; nitrogenous, urea, whether or not in aqueous solution"
310221,"fertilizers, mineral or chemical; nitrogenous, ammonium sulphate"
310229,"fertilizers, mineral or chemical; nitrogenous, other than ammonium sulphate"
310230,"fertilizers, mineral or chemical; nitrogenous, ammonium nitrate, whether or not in aqueous solution"
310240,"fertilizers, mineral or chemical; ammonium nitrate with calcium carbonate or other inorganic non-fertilizing substances, mixtures thereof"
310250,"fertilizers, mineral or chemical; nitrogenous, sodium nitrate"
310260,"fertilizers, mineral or chemical; nitrogenous, double salts and mixtures of calcium nitrate and ammonium nitrate"
310280,"fertilizers, mineral or chemical; nitrogenous, mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution"
310290,"fertilizers, mineral or chemical; nitrogenous, other kinds including mixtures not specified in the foregoing subheadings"
310311,"fertilizers, mineral or chemical; phosphatic, superphosphates, containing by weight 35% or more of diphosphorus pentaoxide (p2o5)"
310319,"fertilizers, mineral or chemical; phosphatic, superphosphates, other than containing by weight 35% or more of diphosphorus pentaoxide (p2o5)"
310390,"fertilizers, mineral or chemical; phosphatic, n.e.c. in heading no. 3103"
310420,"fertilizers, mineral or chemical; potassic, potassium chloride"
310430,"fertilizers, mineral or chemical; potassic, potassium sulphate"
310490,"fertilizers, mineral or chemical; potassic, n.e.c. in heading no. 3104"
310510,"fertilizers, mineral or chemical; in tablets or similar forms or in packages of a gross weight not exceeding 10kg"
310520,"fertilizers, mineral or chemical; containing the three fertilizing elements nitrogen, phosphorus and potassium"
310530,"fertilizers, mineral or chemical; diammonium hydrogenorthophosphate (diammonium phosphate)"
310540,"fertilizers, mineral or chemical; ammonium dihydrogenorthophosphate (monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (diammonium phosphate)"
310551,"fertilizers, mineral or chemical; containing nitrates and phosphates"
310559,"fertilizers, mineral or chemical; containing the two fertilizing elements nitrogen and phosphorus, other than nitrates and phosphates"
310560,"fertilizers, mineral or chemical; containing the two fertilizing elements phosphorus and potassium"
310590,"fertilizers, mineral or chemical; n.e.c. in heading no. 3105"
320110,tanning extracts of vegetable origin; quebracho extract
320120,tanning extracts of vegetable origin; wattle extract
320190,"tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives, (excluding quebracho or wattle extract)"
320210,tanning substances; synthetic organic tanning substances
320290,"tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre- tanning"
320300,"colouring matter of vegetable or animal origin, including dyeing extracts not animal black, whether or not chemically defined; preparations based on colouring matter of vegetable or animal origin"
320411,dyes; disperse dyes and preparations based thereon
320412,"dyes; acid, whether or not premetallised and preparations based thereon, mordant dyes and preparations based thereon"
320413,dyes; basic dyes and preparations based thereon
320414,dyes; direct dyes and preparations based thereon
320415,dyes; vat dyes (including those usable in that state as pigments) and preparations based thereon
320416,dyes; reactive dyes and preparations based thereon
320417,dyes; pigments and preparations based thereon
320418,dyes; carotenoid colouring matters and preparations based thereon
320419,"dyes; n.e.c., including mixtures of colouring matter of two or more of those from item no. 3204.11 to 3204.19"
320420,dyes; synthetic organic products of a kind used as fluorescent brightening agents
320490,"dyes; synthetic organic products n.e.c. in heading no. 3204 (e.g. of a kind used as luminophores), whether or not chemically defined"
320500,colour lakes; preparations based on colour lakes as specified in note 3 to this chapter
320611,"colouring matter; pigments and preparations based on titanium dioxide, containing 80% or more by weight of titanium dioxide calculated on the dry matter"
320619,"colouring matter; pigments and preparations based on titanium dioxide, containing less than 80% by weight of titanium dioxide calculated on the dry weight"
320620,colouring matter; pigments and preparations based on chromium compounds
320641,colouring matter; ultramarine and preparations based thereon
320642,colouring matter; lithopone and other pigments and preparations based on zinc sulphide
320649,colouring matter; other preparations n.e.c. in item no. 3206.4
320650,colouring matter; inorganic products of a kind used as luminophores
320710,"pigments; prepared pigments, opacifiers, colours and similar preparations"
320720,"enamels and glazes; vitrifiable enamels and glazes, engobes (slips) and similar preparations"
320730,lustres; liquid lustres and similar preparations
320740,"glass; glass frit and other glass, in the form of powder, granules or flakes"
320810,"paints and varnishes; based on polyesters, dispersed or dissolved in a non-aqueous medium"
320820,"paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in a non-aqueous medium"
320890,"paints and varnishes; based on polymers n.e.c. in heading no. 3208, dispersed or dissolved in a non-aqueous medium"
320910,"paints and varnishes; based on acrylic or vinyl polymers, dispersed or dissolved in an aqueous medium"
320990,"paints and varnishes; (based on polymers other than acrylic or vinyl), dispersed or dissolved in an aqueous medium"
321000,"paints and varnishes; (including enamels, lacquers and distempers), prepared water pigments of a kind used for finishing leather"
321100,driers; prepared
321210,"pigments; of a kind used in the manufacture of paints, stamping foils"
321290,"pigments; of a kind used in the manufacture of paints, other than stamping foils"
321310,"colours; in sets, of a kind used by artists, students or signboard painters"
321390,"colours; (other than in sets), of a kind used by artists, students or signboard painters"
321410,mastics; painters' fillings
321490,mastics; n.e.c. in heading no. 3214
321511,"ink; for printing, black, whether or not concentrated or solid"
321519,"ink; for printing, other than black, whether or not concentrated or solid"
321590,"ink; writing, drawing and other inks, n.e.c. in heading no. 3215, whether or not concentrated or solid"
330112,"oils, essential; of orange (terpeneless or not), including concretes and absolutes"
330113,"oils, essential; of lemon (terpeneless or not), including concretes and absolutes"
330119,"oils, essential; of citrus fruits n.e.c. in heading no. 3301 (terpeneless or not), including concretes and absolutes"
330124,"oils, essential; of peppermint (mentha piperita), terpeneless or not, including concretes and absolutes"
330125,"oils, essential; of mints (excluding peppermint), terpeneless or not, including concretes and absolutes"
330129,"oils, essential; n.e.c. in heading no. 3301 (terpeneless or not), including concretes and absolutes"
330190,"oils, essential; concentrates in fats, fixed oils, waxes and the like, terpenic by-products, aqueous distillates and solutions, extracted oleoresins, n.e.c. in heading no. 3301"
330210,odoriferous substances and mixtures; of a kind used in the food or drink industries
330290,odoriferous substances and mixtures; used as raw materials in industries other than the food or drink industries
330300,perfumes and toilet waters
330410,cosmetic and toilet preparations; lip make-up
330420,cosmetic and toilet preparations; eye make-up
330430,cosmetic and toilet preparations; manicure or pedicure preparations
330491,"cosmetic and toilet preparations; powders, whether or not compressed (excluding lip, eye, manicure or pedicure preparations)"
330499,"cosmetic and toilet preparations; n.e.c. in heading no. 3304, for the care of the skin (excluding medicaments, including sunscreen or sun tan preparations)"
330510,hair preparations; shampoos
330520,hair preparations; for permanent waving or straightening
330530,hair preparations; lacquers
330590,hair preparations; n.e.c. in heading no. 3305
330610,oral or dental hygiene preparations; dentifrices
330620,oral or dental hygiene preparations; yarn used to clean between the teeth (dental floss)
330690,oral or dental hygiene preparations; other than dentifrices
330710,"perfumery, cosmetic or toilet preparations; pre-shave, shaving or after-shave preparations"
330720,"perfumery, cosmetic or toilet preparations; personal deodorants and antiperspirants"
330730,"perfumery, cosmetic or toilet preparations; perfumed bath salts and other bath preparations"
330741,"perfumes and deodorizers; perfuming or deodorizing preparations for rooms, agarbatti and other odoriferous preparations which operate by burning (including those used during religious rites)"
330749,"perfumes and deodorizers; perfuming or deodorizing preparations for rooms, (excluding those which operate by burning)"
330790,perfumes and deodorizers; perfuming or deodorizing preparations n.e.c. in heading no. 3307
340111,"soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, for toilet use (including medicated products)"
340119,"soap and organic surface-active products; in the form of bars, cakes, moulded shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent, not for toilet use"
340120,soap; in forms n.e.c. in item no. 3401.11
340130,"organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap"
340231,"anionic organic surface-active agents (other than soap); linear alkylbenzene sulphonic acids and their salts, whether or not put up for retail sale"
340239,"anionic organic surface-active agents (other than soap); other than linear alkylbenzene sulphonic acids and their salts, whether or not put up for retail sale"
340241,"organic surface-active agents; cationic (other than soap), whether or not put up for retail sale"
340242,"organic surface-active agents; non-ionic (other than soap), whether or not put up for retail sale"
340249,"organic surface-active agents; whether or not put up for retail sale, n.e.c. in item no. 3402"
340250,"washing and cleaning preparations; powders, flakes and granules, surface-active, whether or not containing soap (excluding those of heading no. 3401), put up for retail sale"
340290,"washing and cleaning preparations; surface-active, whether or not containing soap (excluding those of heading no. 3401), including auxiliary washing preparations, not for retail sale"
340311,"lubricating preparations; for the treatment of textile and similar materials (leather, furskins etc), containing less than 70% (by weight) of petroleum oils or oils obtained from bituminous minerals"
340319,"lubricating preparations; (other than for the treatment of textile and similar materials), containing less than 70% (by weight) of petroleum oils or oils obtained from bituminous minerals"
340391,"lubricating preparations; for the treatment of textile and similar materials (leather, furskins etc), (not containing petroleum oils or oils obtained from bituminous minerals)"
340399,"lubricating preparations; other than for the treatment of textile and similar materials, not containing petroleum oils or oils obtained from bituminous minerals"
340420,"waxes; artificial and prepared, of poly(oxyethylene) (polyethylene glycol)"
340490,"waxes; artificial and prepared, other than of polyethylene glycol"
340510,"polishes, creams and similar preparations; for footwear or leather, excluding waxes of heading no. 3404"
340520,"polishes, creams and similar preparations; for the maintenance of wooden furniture, floors or other woodwork, excluding waxes of heading no. 3404"
340530,"polishes, creams and similar preparations; for coachwork, other than metal polishes, excluding waxes of heading no. 3404"
340540,"scouring pastes and powders and other scouring preparations; (whether or not in the form of paper, wadding, felt, nonwovens, cellular plastics, cellular rubber, impregnated, coated or covered)"
340590,"polishes, creams and similar preparations; n.e.c. in heading no. 3405, excluding waxes of heading no. 3404"
340600,"candles, tapers and the like"
340700,"modelling pastes; preparations known as dental wax, put up in sets, in packings for retail sale or in plates, horseshoe shapes, sticks or similar forms, other preparations for use in dentistry"
350190,caseinates and other casein derivatives; casein glues
350211,"albumins; egg albumin, dried"
350219,"albumins; egg albumin, not dried"
350220,"albumins; milk albumin, including concentrates of two or more whey proteins"
350290,"albumins, albuminates and other albumin derivatives; other than egg or milk albumin, including concentrates of two or more whey proteins"
350300,"gelatin (including gelatin in rectangular sheets, whether or not surface-worked or coloured) and gelatin derivatives; isinglass; other glues of animal origin, excluding casein glues of heading no. 3501"
350400,"peptones and their derivatives; other protein substances and their derivatives n.e.c. or included, hide powder, whether or not chromed"
350510,dextrins and other modified starches
350520,"glues; based on starches, or on dextrins or other modified starches"
350610,"glues or adhesives; prepared, products suitable for use as glues or adhesives, put up for retail sale as glues or adhesives, not exceeding a net weight of 1kg"
350691,"adhesives; prepared, based on polymers of heading 3901 to 3913 or on rubber"
350699,"glues and other adhesives; prepared, n.e.c. in heading no. 3506, not exceeding a net weight of 1kg"
350710,enzymes; rennet and concentrates thereof
350790,enzymes and prepared enzymes; other than rennet and concentrates thereof
360100,explosives; propellent powders
360200,"explosives, prepared; other than propellent powders"
360310,safety fuses
360320,detonating cords
360330,percussion caps
360340,detonating caps
360360,electric detonators
360410,pyrotechnic products; fireworks
360490,"pyrotechnic products; signalling flares, rain rockets, fog signals and other pyrotechnic articles (excluding fireworks)"
360500,matches; other than pyrotechnic articles of heading no. 3604
360610,"fuels; liquid or liquefied-gas, in containers, of a kind used for filling or refilling cigarette or similar lighters and of a capacity not exceeding 300cm3"
360690,ferro-cerium and other pyrophoric alloys in all forms; articles of combustible materials n.e.c. in chapter 36
370110,"photographic plates and film; for x-ray, in the flat, sensitised, unexposed, of any material other than paper, paperboard or textiles"
370120,"photographic plates and film; instant print film, in the flat, sensitised, unexposed, whether or not in packs"
370130,"photographic plates and film; in the flat, sensitised, unexposed, with any side exceeding 225mm, of any materials other than paper, paperboard or textiles"
370191,"photographic plates and film; for colour photography (polychrome), in the flat, sensitised, unexposed, with no side exceeding 255mm, of any material other than paper, paperboard or textiles"
370199,"photographic plates and film; (for other than colour photography), in the flat, sensitised, unexposed, with no side exceeding 255mm, of any material other than paper, paperboard or textiles"
370210,"photographic film; for x-rays, in rolls, sensitised and unexposed (other than of paper, paperboard or textiles)"
370231,"photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm (other than of paper, paperboard or textiles)"
370232,"photographic film; in rolls, with silver halide emulsion, sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm (other than of paper, paperboard or textiles)"
370239,"photographic film; in rolls, (other than with silver halide emulsion and for colour photography), sensitised, unexposed, without sprocket holes, of a width not exceeding 105mm (other than of paper, paperboard or textiles)"
370241,"photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length exceeding 200m (other than of paper, paperboard or textiles)"
370242,"photographic film; in rolls, (other than for colour photography), sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length exceeding 200m (other than of paper, paperboard or textiles)"
370243,"photographic film; in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 610mm and of a length not exceeding 200m (other than of paper, paperboard or textiles)"
370244,"photographic film; in rolls, sensitised, unexposed, without sprocket holes, of a width exceeding 105mm but not exceeding 610mm (other than of paper, paperboard or textiles)"
370252,"photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width not exceeding 16mm (other than of paper, paperboard or textiles)"
370253,"photographic film; for colour photography (polychrome) slides, in rolls, sensitised, unexposed, of a width exceeding 16mm but not exceeding 35mm and of a length not exceeding 30m (other than of paper, paperboard or textiles)"
370254,"photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 16mm but not 35mm and of a length not exceeding 30m, excluding film for slides (other than of paper, paperboard or textiles)"
370255,"photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 16mm but not 35mm and of a length exceeding 30m (other than of paper, paperboard or textiles)"
370256,"photographic film; for colour photography (polychrome), in rolls, sensitised, unexposed, of a width exceeding 35mm (other than of paper, paperboard or textiles)"
370296,"photographic film; other than for colour photography, in rolls, sensitised, unexposed, of a width not exceeding 35mm and of a length not exceeding 30m (other than of paper, paperboard or textiles)"
370297,"photographic film; other than for colour photography, in rolls, sensitised, unexposed, of a width not exceeding 35mm and of a length exceeding 30m (other than paper, paperboard or textiles)"
370298,"photographic film; other than for colour photography, in rolls, sensitised, unexposed, of a width exceeding 35mm (other than of paper, paperboard or textiles)"
370310,"photographic paper, paperboard and textiles; in rolls, sensitised, unexposed, of a width exceeding 610mm"
370320,"photographic paper, paperboard and textiles; for colour photography (polychrome), (other than in rolls of a width exceeding 610mm), sensitised, unexposed"
370390,"photographic paper, paperboard and textiles; (for other than colour photography, other than in rolls of a width exceeding 610mm), sensitised, unexposed"
370400,"photographic plates, film, paper, paperboard and textiles; exposed but not developed"
370500,"photographic plates and film; exposed and developed, other than cinematographic film"
370610,"cinematographic film; exposed and developed, whether or not incorporating sound track or consisting only of sound track, of a width of 35cm or more"
370690,"cinematographic film; exposed and developed, whether or not incorporating a sound track or consisting only of sound track, of a width less than 35mm"
370710,"photographic goods; sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use"
370790,"photographic goods; chemical preparations other than sensitised emulsions, put up in measured portions or put up for retail sale in a form ready for use"
380110,graphite; artificial
380120,graphite; colloidal or semi-colloidal
380130,carbonaceous pastes; for electrodes and similar pastes for furnace linings
380190,"graphite or other carbon based preparations; in the form of pastes, blocks, plates or other semi-manufactures"
380210,carbon; activated
380290,"chemical products; activated natural mineral products, animal black, including spent animal black"
380300,"chemical products; tall oil, whether or not refined"
380400,"lyes, residual; from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulphonates but excluding tall oil of heading no. 3803"
380510,"terpenic oils; gum, wood or sulphate turpentine oils"
380590,"terpenic oils; produced by the treatment of coniferous woods, crude dipentene, sulphite turpentine and other crude para-cymene, n.e.c. in heading no. 3805"
380610,rosin and resin acids
380620,"rosin and resin; salts of rosin, of resin acids or of derivatives of rosin or resin acids, other than salts of rosin adducts"
380690,"rosin; spirit and oils, n.e.c. in heading no. 3806"
380700,"wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewers' pitch and similar preparations based on rosin, resin acids or on vegetable pitch"
380852,"insecticides and the like; containing goods specified in subheading note 1 to this chapter; for retail sale or as preparations or articles; ddt (iso) (clofenotane (inn)), in packings of 300g or less"
380859,"insecticides, rodenticides, fungicides, disinfectants, herbicides and the like; containing goods specified in subheading note 1 to this chapter; not ddt (iso) (clofenotane (inn)), put up in forms or packings for retail sale or as preparations or articles"
380861,insecticides and the like; containing goods specified in subheading note 2 to this chapter; in packings of a net weight content not exceeding 300g; for retail sale or as preparations or articles
380862,"insecticides; containing goods specified in subheading note 2 to this chapter; put up in forms or packings for retail sale or as preparations or articles, in packings of a net weight content exceeding 300g but not exceeding 7.5kg"
380869,"insecticides; containing goods named in subheading note 2 to this chapter, put up in forms or packings for retail sale or as preparations or articles, in packings of a net weight content exceeding 7.5kg"
380891,insecticides; other than containing goods specified in subheading notes 1 & 2 to this chapter; put up in forms or packings for retail sale or as preparations or articles
380892,fungicides; other than containing goods specified in subheading note 1 to this chapter; put up in forms or packings for retail sale or as preparations or articles
380893,"herbicides, anti-sprouting products and plant-growth regulators; other than containing goods of subheading note 1 to this chapter; put up in forms or packings for retail sale or as preparations or articles"
380894,disinfectants; other than containing goods specified in subheading note 1 in this chapter; put up in forms or packings for retail sale or as preparations or articles
380899,"rodenticides and other similar products n.e.c. in heading no. 3808.9; other than containing goods specified in subheading note 1 in this chapter, put up in forms or packings for retail sale or as preparations or articles"
380910,"finishing agents and dye carriers; to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in textile, paper, leather etc industries, with basis of amylaceous substances, n.e.c."
380991,"finishing agents and dye carriers; to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in the textile industry (excluding those with a basis of amylaceous substances)"
380992,"finishing agents and dye carriers; to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in the paper industry (excluding those with a basis of amylaceous substances)"
380993,"finishing agents and dye carriers; to accelerate dyeing or fixing of dye-stuffs, other products and preparations, used in the leather or like (excluding paper and textile) industries, (excluding those with a basis of amylaceous substances)"
381010,"pickling preparations for metal surfaces; soldering, brazing or welding powders and pastes consisting of metal and other materials"
381090,"fluxes and other auxiliary preparations; for soldering, brazing or welding, or preparations used as cores or coatings for welding electrodes or rods"
381111,anti-knock preparations; based on lead compounds
381119,anti-knock preparations; other than those based on lead compounds
381121,lubricating oil additives; containing petroleum oils or oils obtained from bituminous minerals
381129,lubricating oil additives; not containing petroleum oils or oils obtained from bituminous minerals
381190,"oxidation and gum inhibitors, viscosity improvers, anti-corrosive preparations, other prepared additives for mineral oils or liquids used as mineral oils (including gasoline), n.e.c. in heading no. 3811"
381210,rubber accelerators; prepared
381220,"plasticisers, compound; for rubber or plastics"
381231,"anti-oxidising preparations and other compound stabilisers; for rubber or plastics, mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline (tmq)"
381239,"anti-oxidising preparations and other compound stabilisers; for rubber or plastics, other than mixtures of oligomers of 2,2,4-trimethyl-1,2-dihydroquinoline (tmq)"
381300,fire-extinguishers; preparations and charges and charged fire-extinguishing grenades
381400,"solvents and thinners; organic composite solvents and thinners, n.e.c. or included, prepared paint or varnish removers"
381511,"catalysts, supported; reaction initiators, reaction accelerators and catalytic preparations, with nickel or nickel compounds as the active substance, n.e.c. or included"
381512,"catalysts, supported; reaction initiators, reaction accelerators and catalytic preparations, with precious metal or precious metal compounds as the active substance, n.e.c. or included"
381519,"catalysts, supported; reaction initiators, reaction accelerators and catalytic preparations, with an active substance other than nickel or precious metals or their compounds, n.e.c. or included"
381590,"reaction initiators, reaction accelerators and catalytic preparations, unsupported, n.e.c. or included"
381600,"refractory cements, mortars, concretes and similar compositions, including dolomite ramming mix, other than products of heading 38.01"
381700,"mixed alkylbenzenes and mixed alkylnaphthalenes, other than those of heading no. 2707 or 2902"
381800,"chemical elements; doped for use in electronics, in the form of discs, wafers or similar forms; chemical compounds doped for use in electronics"
381900,"hydraulic fluids; for brakes and other prepared liquids for hydraulic transmission, not containing or containing less than 70% by weight of petroleum oils or oils obtained from bituminous minerals"
382000,anti-freezing preparations and prepared de-icing fluids
382100,"prepared culture media for the development or maintenance of micro-organisms (including viruses and the like) or of plant, human or animal cells"
382211,"reagents; diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, whether or not put up in the form of kits; for malaria"
382212,"reagents; diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, whether or not put up in the form of kits; for zika and other diseases transmitted by mosquitoes of the genus aedes"
382213,"reagents; diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, whether or not put up in the form of kits; for blood grouping"
382219,"reagents; diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, whether or not put up in the form of kits; n.e.c.in item 3822.1"
382290,"reagents; diagnostic or laboratory reagents on a backing, prepared diagnostic or laboratory reagents whether or not on a backing, or put up in the form of kits, other than those of heading 30.06; certified reference materials, n.e.c. in heading 3822"
382311,"industrial monocarboxylic fatty acids, acid oils from refining; stearic acid"
382312,"industrial monocarboxylic fatty acids, acid oils from refining; oleic acid"
382313,"industrial monocarboxylic fatty acids, acid oils from refining; tall oil fatty acids"
382319,"industrial monocarboxylic fatty acids; acid oils from refining; (other than stearic acid, oleic acid or tall oil fatty acids)"
382370,industrial fatty alcohols
382410,"binders, prepared; for foundry moulds or cores"
382430,"metal carbides, non-agglomerated; mixed together or with metallic binders"
382440,"cements, mortars or concretes; their prepared additives"
382450,mortars and concretes; non-refractory
382460,sorbitol; other than that of subheading no. 2905.44
382481,"chemical products, mixtures and preparations; containing goods specified in subheading note 3 to this chapter; containing oxirane (ethylene oxide)"
382482,"chemical products, mixtures and preparations; containing goods specified in subheading note 3 to this chapter; containing polychlorinated biphenyls (pcbs), polychlorinated terphenyls (pcts) or polybrominated biphenyls (pbbs)"
382483,"chemical products, mixtures and preparations; containing goods specified in subheading note 3 to this chapter; containing tris(2,3-dibromopropyl) phosphate"
382484,"chemical products, mixtures and preparations; containing aldrin, camphechlor (toxaphene), chlordane, chlordecone, ddt (chlorfenotane, 1,1,1-trichloro-2,2-bis(p-chlorophenyl)ethane), dieldrin, endosulfan, endrin, heptachlor or mirex"
382485,"chemical products, mixtures and preparations; containing goods specified in subheading note 3 to this chapter; containing 1,2,3,4,5,6-hexachlorocyclohexane (hch (iso)), including lindane (iso, inn)"
382486,"chemical products, mixtures and preparations; containing goods specified in subheading note 3 to this chapter; containing pentachlorobenzene (iso) or hexachlorobenzene (iso)"
382487,"chemical products, mixtures and preparations; containing goods specified in subheading note 3 to this chapter; containing perfluorooctane sulphonic acid, its salts, perfluorooctane sulphonamides, or perfluorooctane sulphonyl fluoride"
382488,"chemical products, mixtures and preparations; containing goods specified in subheading note 3 to this chapter; containing tetra-, penta-, hexa-, hepta- or octabromodiphenyl ethers"
382489,"chemical products, mixtures and preparations; containing goods specified in subheading note 3 to this chapter; containing short-chain chlorinated paraffins"
382491,"chemical products, mixtures and preparations; consisting mainly of (5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl methyl methylphosphonate and bis[(5-ethyl-2-methyl-2-oxido-1,3,2-dioxaphosphinan-5-yl)methyl] methylphosphonate"
382492,"chemical products, mixtures and preparations; polyglycol esters of methylphosphonic acid"
382499,"chemical products, mixtures and preparations; n.e.c. heading 3824"
382510,"residual products of the chemical or allied industries, not elsewhere specified or included; municipal waste"
382520,"residual products of the chemical or allied industries, not elsewhere specified or included; sewage sludge"
